  Nr.        Re                       Im
   1   -0.891594033208813918633950379444   0.0478046728267078127605493875762
   2   -0.0721945631074747268263180899339   0.0644452739791291501214587356117
   3   0.860015776358629802089694749156   0.0533783936903994629674663485730
   4   1.00495403041123276821622312127   0.00335325450715577479815499017946
   5   -0.549587877226238696870552757900   0.0822111314524478636878157544743
   6   0.494741269037981323819508361339   0.0844369235580245125483145329781
   7   -0.980288435724586904029820288997   0.0232218630408449651369995336836
   8   -0.319568757981259221612191367967   0.0869996126360912946928749533981
   9   0.700028613987436654220175569208   0.0723786395349235306406754375530
   10   0.963958600452450742324117527460   0.0296422177609976349177411947267
   11   -0.744753913455955096623029021430   0.0681892943582186744633233388413
   12   0.258609123021910025652658760009   0.0859606320884811481164433644153
   13   -0.943673956035893768401479064778   0.0359025371040272087141964618695
   14   -0.196950493280740906998360628677   0.0833009974950428139228719714993
   15   0.786441564269944715093174636422   0.0636038546266462501144189900515
   16   0.992595561608037302292473214038   0.0166765814867637640617203942384
   17   -0.652455003235876684897220911807   0.0761372932210211544878930567393
   18   0.379454821692793431431312001223   0.0869441517611857922487317296145
   19   -1.00082882884021739933189110161   0.0100418149048726642463824632046
   20   -0.437942079193747113574630702715   0.0860437819939531001178778524263
   21   0.602235950014153864628951851046   0.0794284416786994185155634795592
   22   0.919518902615733768612926724018   0.0419681119227433077623068413686
   23   -0.824915996552996411139702104265   0.0586558423558887903626057891415
   24   0.134968186623928010359207974034   0.0776669202577349310212539990061
   25   -0.919518902615733768612926724018   0.0419681119227433077623068413686
   26   -0.134968186623928010359207974034   0.0776669202577349310212539990061
   27   0.824915996552996411139702104265   0.0586558423558887903626057891415
   28   1.00082882884021739933189110161   0.0100418149048726642463824632046
   29   -0.602235950014153864628951851046   0.0794284416786994185155634795592
   30   0.437942079193747113574630702715   0.0860437819939531001178778524263
   31   -0.992595561608037302292473214038   0.0166765814867637640617203942384
   32   -0.379454821692793431431312001223   0.0869441517611857922487317296145
   33   0.652455003235876684897220911807   0.0761372932210211544878930567393
   34   0.943673956035893768401479064778   0.0359025371040272087141964618695
   35   -0.786441564269944715093174636422   0.0636038546266462501144189900515
   36   0.196950493280740906998360628677   0.0833009974950428139228719714993
   37   -0.963958600452450742324117527460   0.0296422177609976349177411947267
   38   -0.258609123021910025652658760009   0.0859606320884811481164433644153
   39   0.744753913455955096623029021430   0.0681892943582186744633233388413
   40   0.980288435724586904029820288997   0.0232218630408449651369995336836
   41   -0.700028613987436654220175569208   0.0723786395349235306406754375530
   42   0.319568757981259221612191367967   0.0869996126360912946928749533981
   43   -1.00495403041123276821622312127   0.00335325450715577479815499017946
   44   -0.494741269037981323819508361339   0.0844369235580245125483145329781
   45   0.549587877226238696870552757900   0.0822111314524478636878157544743
   46   0.891594033208813918633950379444   0.0478046728267078127605493875762
   47   -0.860015776358629802089694749156   0.0533783936903994629674663485730
   48   0.0721945631074747268263180899339   0.0644452739791291501214587356117
   49   0.0721945631074747268263180899339   -0.0644452739791291501214587356117
   50   -0.860015776358629802089694749156   -0.0533783936903994629674663485730
   51   0.891594033208813918633950379444   -0.0478046728267078127605493875762
   52   0.549587877226238696870552757900   -0.0822111314524478636878157544743
   53   -0.494741269037981323819508361339   -0.0844369235580245125483145329781
   54   -1.00495403041123276821622312127   -0.00335325450715577479815499017946
   55   0.319568757981259221612191367967   -0.0869996126360912946928749533981
   56   -0.700028613987436654220175569208   -0.0723786395349235306406754375530
   57   0.980288435724586904029820288997   -0.0232218630408449651369995336836
   58   0.744753913455955096623029021430   -0.0681892943582186744633233388413
   59   -0.258609123021910025652658760009   -0.0859606320884811481164433644153
   60   -0.963958600452450742324117527460   -0.0296422177609976349177411947267
   61   0.196950493280740906998360628677   -0.0833009974950428139228719714993
   62   -0.786441564269944715093174636422   -0.0636038546266462501144189900515
   63   0.943673956035893768401479064778   -0.0359025371040272087141964618695
   64   0.652455003235876684897220911807   -0.0761372932210211544878930567393
   65   -0.379454821692793431431312001223   -0.0869441517611857922487317296145
   66   -0.992595561608037302292473214038   -0.0166765814867637640617203942384
   67   0.437942079193747113574630702715   -0.0860437819939531001178778524263
   68   -0.602235950014153864628951851046   -0.0794284416786994185155634795592
   69   1.00082882884021739933189110161   -0.0100418149048726642463824632046
   70   0.824915996552996411139702104265   -0.0586558423558887903626057891415
   71   -0.134968186623928010359207974034   -0.0776669202577349310212539990061
   72   -0.919518902615733768612926724018   -0.0419681119227433077623068413686
   73   0.134968186623928010359207974034   -0.0776669202577349310212539990061
   74   -0.824915996552996411139702104265   -0.0586558423558887903626057891415
   75   0.919518902615733768612926724018   -0.0419681119227433077623068413686
   76   0.602235950014153864628951851046   -0.0794284416786994185155634795592
   77   -0.437942079193747113574630702715   -0.0860437819939531001178778524263
   78   -1.00082882884021739933189110161   -0.0100418149048726642463824632046
   79   0.379454821692793431431312001223   -0.0869441517611857922487317296145
   80   -0.652455003235876684897220911807   -0.0761372932210211544878930567393
   81   0.992595561608037302292473214038   -0.0166765814867637640617203942384
   82   0.786441564269944715093174636422   -0.0636038546266462501144189900515
   83   -0.196950493280740906998360628677   -0.0833009974950428139228719714993
   84   -0.943673956035893768401479064778   -0.0359025371040272087141964618695
   85   0.258609123021910025652658760009   -0.0859606320884811481164433644153
   86   -0.744753913455955096623029021430   -0.0681892943582186744633233388413
   87   0.963958600452450742324117527460   -0.0296422177609976349177411947267
